id,longitude,latitude,known_forest
35,-176.53135131986818,54.174114161888895,0
36,-21.727819584904665,45.028222139998334,0
37,-80.92919097295605,11.115180127691858,0
38,-172.0254329804622,2.927353820911158,0
39,32.35970314280823,52.5937300785328,0
40,-168.41656942286426,-47.24310197996282,1
41,-136.81021698550285,14.576503524568167,1
42,-64.06771830176643,-35.49930267493262,1
43,172.11382205084288,29.50407725575647,1
44,74.12618805796308,42.43762593257681,0
45,114.70263699863744,-28.30268082266935,0
46,133.79295820035833,-49.19318218908652,0
47,-71.35392846504902,21.85171207329263,1
48,-68.9576926580722,-13.73202704610381,1
49,12.511247607783275,34.6730326185273,0
50,-46.67360320579553,-21.5771846292459,0
51,-139.5827037354613,52.372399446072436,1
52,-69.96437921672853,33.8707535291355,0
53,-171.63196033454847,16.041878688447525,1
54,140.1158103215983,-44.87960481410896,1
55,-131.19610157790936,-37.848183119112974,1
56,-18.237540365165557,34.27431527982063,1
57,112.57609289877729,-13.332468107914103,0
58,-82.31141924271908,-1.9978477615288384,0
59,107.19374918451103,42.891119645530736,0
60,-46.098452203171774,-14.98558754924435,1
61,54.39626131140315,30.93514751106578,1
62,74.8128516398854,6.152399724908612,1
63,121.65734757100103,41.23315313778646,1
64,42.45568665469568,-51.41126517069441,1
65,-38.01714810396115,-48.15788999959071,0
66,77.83869280846,-27.22884506161126,1
67,-33.99390649091691,-51.86421489310159,0
68,16.167108986619354,-35.923937882109215,0
69,38.49251959570776,-21.75304917195936,0
70,95.71944538414499,8.645574267472632,0
71,141.60446240408663,43.67250228442157,0
72,-66.33520656701813,29.152128870307678,0
73,-144.7138419722117,1.4590422677583206,0
74,-168.79574156270502,43.050330352767986,0
75,-61.933297754845114,-5.1444690884976865,0
76,150.7237923561354,-51.534093211040876,0
77,56.766381444968744,39.91648304264153,0
78,-56.30952135815387,35.73526313390042,0
79,132.66952860734597,25.819904235659493,1
80,-72.22587612897031,-51.51960998241496,0
81,138.56029822459232,41.61846816132426,1
82,-126.86188958365625,3.1652716312257496,1
83,158.14505304746604,-43.56896483730634,1
84,-90.64427254462025,-20.480024414284976,0
85,-87.27199895138044,1.5148115525137342,1
86,-20.85645496955189,30.431274585372265,0
87,173.39296528326986,52.62109022828534,1
88,85.89498323953717,-32.20166406589567,0
89,-55.16235916337918,33.79233517692725,1
90,51.812137145620056,-48.44958325954112,0
91,128.20832042487416,-17.776340994587528,1
92,43.82666629307599,15.106062850572997,0
93,45.00581758467234,-26.844880004221697,1
94,-98.4630429794228,18.123381795777107,1
95,152.35597444648505,-18.316986116848874,0
96,176.6379873322474,-40.98803891522467,1
97,-117.73381870658991,-39.71030378776413,0
98,28.23241976871998,-21.113378489219507,0
99,99.17856961641866,-31.36293300539763,1
100,-48.58440662355693,-0.5441089037970883,0